stat_type,Rk,Player,G,GS,MP,FG,FGA,FGPCTG,THREEP,THREEPA,THREEPPCTG,TWOP,TWOPA,TWOPPCTG,FT,FTA,FTPCTG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
per_thirtysix,4,Gary Clark,18,18,622,6.7,15.7,.428,4.3,10.5,.412,2.4,5.2,.461,1.7,2.1,.806,1.3,7.5,8.8,2.3,1.3,0.7,2.1,1.9,20.3
per_thirtysix,5,Skylar Mays,5,2,171,7.4,16.2,.455,2.3,6.7,.344,5.1,9.5,.533,1.7,2.1,.800,1.3,4.2,5.5,9.3,0.6,0.2,2.1,2.3,20.2
per_thirtysix,6,Kenneth Faried,20,18,594,7.3,12.6,.577,0.2,0.8,.286,7.0,11.8,.598,2.0,3.5,.579,5.8,8.4,14.2,2.0,1.5,2.5,2.8,4.2,18.1
per_thirtysix,7,Alfonzo McKinnie,16,5,439,6.6,16.0,.415,1.6,5.7,.275,5.1,10.3,.492,1.6,2.3,.714,2.3,5.5,7.8,1.3,1.0,0.3,2.6,3.8,17.7
per_thirtysix,8,Kalob Ledoux,2,0,49,5.9,13.2,.444,5.1,9.6,.538,0.7,3.7,.200,0.0,0.7,.000,1.5,0.7,2.2,1.5,0.7,0.0,1.5,1.5,16.9
per_thirtysix,9,Rigoberto Mendoza,19,19,651,6.5,13.1,.496,1.5,4.3,.364,4.9,8.8,.560,1.3,1.5,.857,1.3,5.3,6.6,4.1,1.5,0.4,2.1,2.7,16.6
per_thirtysix,10,Bruno Caboclo,2,2,59,5.5,12.8,.429,1.2,3.7,.333,4.3,9.2,.467,1.2,1.8,.667,3.1,3.1,6.1,1.8,0.0,2.4,1.8,4.3,14.6
per_thirtysix,11,Tra Holder,2,0,25,2.9,13.0,.222,2.9,8.6,.333,0.0,4.3,.000,2.9,2.9,1.000,0.0,0.0,0.0,7.2,0.0,0.0,2.9,4.3,14.4
per_thirtysix,12,Jassel Perez,13,0,223,4.8,10.7,.455,1.8,5.0,.355,3.1,5.7,.543,0.2,0.6,.250,1.8,2.1,3.9,1.5,1.6,0.3,1.8,4.8,11.8
per_thirtysix,13,Justin Minaya,17,15,582,4.3,9.6,.452,1.5,4.8,.308,2.8,4.8,.597,0.4,0.9,.400,1.1,3.2,4.3,2.4,2.0,1.5,0.9,2.2,10.8
per_thirtysix,14,Caio Pacheco,16,7,386,3.6,10.2,.358,1.5,4.6,.327,2.1,5.6,.383,0.9,1.2,.769,0.7,2.1,2.9,4.8,1.0,0.0,2.5,3.5,10.4
per_thirtysix,15,Gael Bonilla,13,0,145,4.0,9.4,.421,0.2,1.7,.143,3.7,7.7,.484,0.7,0.7,1.000,3.5,5.2,8.7,2.2,1.0,0.7,1.5,2.7,9.7
per_thirtysix,16,Derek Culver,11,1,139,3.1,8.5,.364,0.0,0.0,,3.1,8.5,.364,1.8,3.6,.500,4.7,6.0,10.6,1.8,0.5,0.8,1.3,4.7,9.3
per_thirtysix,17,Moises Andriassi,5,0,51,2.8,9.2,.308,2.1,8.5,.250,0.7,0.7,1.000,0.0,0.0,,0.0,2.8,2.8,2.1,1.4,0.7,0.7,0.7,7.8
